,date,STABBREV,positive
0,20210206,AK,53279
1,20210206,AL,471311
2,20210206,AR,306064
3,20210206,AZ,779093
4,20210206,CA,3320862
5,20210206,CO,404255
6,20210206,CT,259372
7,20210206,DC,37877
8,20210206,DE,79832
9,20210206,FL,1739276
10,20210206,GA,937402
11,20210206,HI,27088
12,20210206,IA,270935
13,20210206,ID,164969
14,20210206,IL,1144281
15,20210206,IN,637987
16,20210206,KS,281562
17,20210206,KY,376262
18,20210206,LA,409861
19,20210206,MA,540827
20,20210206,MD,362084
21,20210206,ME,41064
22,20210206,MI,620685
23,20210206,MN,467217
24,20210206,MO,465448
25,20210206,MS,280778
26,20210206,MT,95717
27,20210206,NC,791521
28,20210206,ND,98106
29,20210206,NE,193421
30,20210206,NH,68061
31,20210206,NJ,717835
32,20210206,NM,177214
33,20210206,NV,283391
34,20210206,NY,1460747
35,20210206,OH,918079
36,20210206,OK,401780
37,20210206,OR,146138
38,20210206,PA,865604
39,20210206,RI,117891
40,20210206,SC,462981
41,20210206,SD,109132
42,20210206,TN,742213
43,20210206,TX,2476783
44,20210206,UT,353700
45,20210206,VA,526176
46,20210206,VT,12766
47,20210206,WA,319371
48,20210206,WI,600016
49,20210206,WV,124190
50,20210206,WY,52618
