FID,COUNTYNS,GEOID,ALAND,AWATER,NAME,State,B25010_001E,B25010_001M,B25010_002E,B25010_002M,B25010_003E,B25010_003M,B01001_001E,B01001_001M,B01001_calc_PopDensity,created_user,created_date,last_edited_user,last_edited_date,B01001_calc_PopDensityM,SHAPE_Length,SHAPE_Area
1,00161526,01001,1539602123,25706961,Autauga County,Alabama,2.59,0.05,2.59,0.07,2.6,0.16,55200,,35.8534189940189,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.06603741870287,0.150255931356283
2,00161527,01003,4117546676,1133055836,Baldwin County,Alabama,2.61,0.04,2.66,0.06,2.48,0.11,208107,,50.5415035640023,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,4.4837462215117,0.409904060779593
3,00161528,01005,2292144655,50538698,Barbour County,Alabama,2.49,0.07,2.44,0.11,2.58,0.15,25782,,11.247981205619,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.69526238926429,0.223270168550126
4,00161529,01007,1612167481,9602089,Bibb County,Alabama,2.99,0.14,3.05,0.18,2.81,0.38,22527,,13.9731140005546,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.88751390253059,0.156473333901233
5,00161530,01009,1670103911,15015423,Blount County,Alabama,2.77,0.05,2.85,0.07,2.48,0.15,57645,,34.5158164233531,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.42355181410113,0.164405417955574
6,00161531,01011,1613059160,6054988,Bullock County,Alabama,2.75,0.15,2.71,0.2,2.88,0.41,10352,,6.41761954967603,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.07895292708477,0.154691373787564
7,00161532,01013,2012002530,2701198,Butler County,Alabama,2.94,0.12,2.89,0.14,3.04,0.24,20025,,9.95277078503475,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.83536526561879,0.191773177834605
8,00161533,01015,1569189622,16627597,Calhoun County,Alabama,2.49,0.04,2.47,0.04,2.52,0.1,115098,,73.3486880019654,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.19591627249628,0.154344895883442
9,00161534,01017,1545085607,16971701,Chambers County,Alabama,2.46,0.07,2.46,0.08,2.47,0.17,33826,,21.8926380821564,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.72190508213004,0.150571174920267
10,00161535,01019,1433623321,120308339,Cherokee County,Alabama,2.41,0.08,2.44,0.1,2.3,0.2,25853,,18.0333282957246,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.89217666218917,0.151949618675308
11,00161536,01021,1794477075,20592144,Chilton County,Alabama,2.6,0.08,2.6,0.1,2.59,0.18,43930,,24.4806693894376,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.08660882165303,0.174830977542305
12,00161537,01023,2365869835,19144469,Choctaw County,Alabama,2.41,0.11,2.41,0.13,2.4,0.31,13075,,5.52650860439243,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.68653145251394,0.227669168268857
13,00161538,01025,3207494111,36657891,Clarke County,Alabama,2.57,0.09,2.74,0.13,2.21,0.18,24387,,7.60313165232808,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,3.78523562183013,0.308554041552173
14,00161539,01027,1564251835,5285207,Clay County,Alabama,2.51,0.12,2.54,0.15,2.42,0.24,13378,,8.55233134503563,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.02278769857415,0.151892252360192
15,00161540,01029,1450663940,2354896,Cleburne County,Alabama,2.58,0.08,2.61,0.1,2.48,0.25,14938,,10.2973539136845,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.17513498270176,0.141263442180982
16,00161541,01031,1758565925,3907189,Coffee County,Alabama,2.56,0.04,2.59,0.07,2.5,0.1,51288,,29.1646729138119,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.67882501538536,0.16714795759808
17,00161542,01033,1535202321,79700277,Colbert County,Alabama,2.48,0.05,2.51,0.07,2.41,0.13,54495,,35.4969499814872,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.19893806204638,0.158887444619482
18,00161543,01035,2202007854,6632046,Conecuh County,Alabama,2.73,0.15,2.73,0.19,2.72,0.37,12514,,5.68299517064302,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.60100060999267,0.209519539095395
19,00161544,01037,1685850815,39987271,Coosa County,Alabama,2.55,0.16,2.59,0.16,2.38,0.4,10855,,6.43888528179168,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.75342708740589,0.166398767743803
20,00161545,01039,2669129020,34231390,Covington County,Alabama,2.44,0.06,2.47,0.07,2.38,0.12,37351,,13.9937034591157,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.3826949904034,0.255968089782857
21,00161546,01041,1576952799,5388561,Crenshaw County,Alabama,2.73,0.11,2.73,0.12,2.72,0.19,13865,,8.79227330633629,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.32609677315448,0.150584805654792
22,00161547,01043,1903073019,52422496,Cullman County,Alabama,2.64,0.05,2.67,0.07,2.56,0.13,82313,,43.252675634723,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.45887069717427,0.191118193076815
23,00161548,01045,1453244553,4082940,Dale County,Alabama,2.57,0.06,2.42,0.07,2.81,0.12,49255,,33.893125488288,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.65009320955515,0.138250934686547
24,00161549,01047,2534919599,39124778,Dallas County,Alabama,2.41,0.05,2.37,0.09,2.48,0.12,40029,,15.7910333786488,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,3.11727785383432,0.246525247202701
25,00161550,01049,2012676479,4121543,DeKalb County,Alabama,2.69,0.06,2.68,0.08,2.7,0.13,71200,,35.3757798349071,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.21433397881474,0.197866358385141
26,00161551,01051,1601769095,99957723,Elmore County,Alabama,2.63,0.05,2.65,0.07,2.59,0.14,81212,,50.7014402097701,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.26218539592129,0.163461120650697
27,00161552,01053,2448115119,20504948,Escambia County,Alabama,2.57,0.08,2.6,0.11,2.5,0.19,37328,,15.247648981167,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.50749079416772,0.233445031292868
28,00161553,01055,1386373604,34568854,Etowah County,Alabama,2.62,0.04,2.62,0.06,2.63,0.09,102939,,74.2505481228132,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.08565547997461,0.138734628908823
29,00161554,01057,1625693290,4330881,Fayette County,Alabama,2.34,0.08,2.37,0.1,2.23,0.22,16585,,10.201801349626,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.83770130351877,0.158556317688938
30,00161555,01059,1641841406,32643981,Franklin County,Alabama,2.79,0.07,2.71,0.11,2.99,0.21,31542,,19.2113561545785,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.78018139703354,0.164247033363858
31,00161556,01061,1487897666,11578163,Geneva County,Alabama,2.5,0.08,2.42,0.1,2.7,0.22,26491,,17.8043158513833,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.8338071200048,0.141752337095077
32,00161557,01063,1675782061,33416141,Greene County,Alabama,2.83,0.2,2.95,0.27,2.58,0.49,8426,,5.02810013073651,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,3.55719089007304,0.164643097395329
33,00161558,01065,1667907112,32423361,Hale County,Alabama,2.6,0.11,2.74,0.12,2.22,0.23,14887,,8.92555700068266,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.47891596313596,0.163625403805809
34,00161559,01067,1454926621,16986823,Henry County,Alabama,2.52,0.09,2.5,0.1,2.64,0.31,17124,,11.7696657362901,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.63970265990764,0.139755976559983
35,00161560,01069,1501854593,4683050,Houston County,Alabama,2.63,0.03,2.61,0.04,2.68,0.05,104352,,69.4820926648789,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.10219232193065,0.142505649516127
