"age group","county name","cases","deaths","hospitalization"
"01-04 years","Georgia","9495","1","173"
"05-09 years","Georgia","15549","2","133"
"10-17 years","Georgia","54451","6","538"
"18-29 years","Georgia","171016","88","3157"
"30-39 years","Georgia","122275","198","4110"
"40-49 years","Georgia","118936","448","5977"
"50-59 years","Georgia","113066","1185","8812"
"60-69 years","Georgia","76754","2542","10451"
"70-79 years","Georgia","45333","3661","9899"
"80 & Older years","Georgia","26605","4911","7771"
"<1 years","Georgia","2633","0","131"
"Unknown years","Georgia","6964","6","95"
"01-04 years","Appling","23","0","0"
"05-09 years","Appling","48","0","0"
"10-17 years","Appling","147","0","1"
"18-29 years","Appling","321","1","4"
"30-39 years","Appling","231","1","5"
"40-49 years","Appling","233","3","17"
"50-59 years","Appling","264","6","21"
"60-69 years","Appling","226","11","40"
"70-79 years","Appling","147","13","29"
"80 & Older years","Appling","71","15","25"
"<1 years","Appling","4","0","0"
"Unknown years","Appling","2","0","0"
"01-04 years","Atkinson","5","0","1"
"05-09 years","Atkinson","18","0","1"
"10-17 years","Atkinson","47","0","0"
"18-29 years","Atkinson","161","0","8"
"30-39 years","Atkinson","118","0","9"
"40-49 years","Atkinson","123","1","21"
"50-59 years","Atkinson","132","1","22"
"60-69 years","Atkinson","79","4","23"
"70-79 years","Atkinson","45","4","13"
"80 & Older years","Atkinson","14","5","10"
"<1 years","Atkinson","3","0","0"
"01-04 years","Bacon","17","0","0"
"05-09 years","Bacon","23","0","0"
"10-17 years","Bacon","69","0","1"
"18-29 years","Bacon","228","0","1"
"30-39 years","Bacon","131","0","4"
"40-49 years","Bacon","157","1","11"
"50-59 years","Bacon","145","2","16"
"60-69 years","Bacon","115","8","19"
"70-79 years","Bacon","73","6","14"
"80 & Older years","Bacon","37","8","7"
"<1 years","Bacon","6","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","5","0","0"
"05-09 years","Baker","4","0","0"
"10-17 years","Baker","9","0","0"
"18-29 years","Baker","22","0","0"
"30-39 years","Baker","21","0","2"
"40-49 years","Baker","13","0","1"
"50-59 years","Baker","19","0","1"
"60-69 years","Baker","30","2","14"
"70-79 years","Baker","18","2","10"
"80 & Older years","Baker","8","2","3"
"<1 years","Baker","2","0","0"
"01-04 years","Baldwin","28","0","0"
"05-09 years","Baldwin","49","0","0"
"10-17 years","Baldwin","170","1","5"
"18-29 years","Baldwin","1201","0","14"
"30-39 years","Baldwin","427","1","15"
"40-49 years","Baldwin","448","2","29"
"50-59 years","Baldwin","460","10","49"
"60-69 years","Baldwin","363","19","62"
"70-79 years","Baldwin","247","21","50"
"80 & Older years","Baldwin","138","36","49"
"<1 years","Baldwin","11","0","0"
"01-04 years","Banks","7","0","0"
"05-09 years","Banks","20","0","1"
"10-17 years","Banks","94","0","2"
"18-29 years","Banks","268","0","6"
"30-39 years","Banks","182","0","5"
"40-49 years","Banks","199","0","15"
"50-59 years","Banks","229","1","21"
"60-69 years","Banks","190","4","37"
"70-79 years","Banks","146","12","53"
"80 & Older years","Banks","79","11","28"
"<1 years","Banks","5","0","1"
"Unknown years","Banks","48","0","1"
"01-04 years","Barrow","79","0","0"
"05-09 years","Barrow","140","0","0"
"10-17 years","Barrow","531","0","7"
"18-29 years","Barrow","1517","2","31"
"30-39 years","Barrow","1289","1","38"
"40-49 years","Barrow","1317","4","55"
"50-59 years","Barrow","1108","5","82"
"60-69 years","Barrow","747","19","118"
"70-79 years","Barrow","454","28","93"
"80 & Older years","Barrow","214","41","74"
"<1 years","Barrow","28","0","2"
"Unknown years","Barrow","23","0","0"
"01-04 years","Bartow","82","0","3"
"05-09 years","Bartow","177","0","2"
"10-17 years","Bartow","768","0","7"
"18-29 years","Bartow","1752","0","17"
"30-39 years","Bartow","1424","4","35"
"40-49 years","Bartow","1480","1","61"
"50-59 years","Bartow","1521","11","114"
"60-69 years","Bartow","907","25","121"
"70-79 years","Bartow","640","57","140"
"80 & Older years","Bartow","304","61","96"
"<1 years","Bartow","28","0","2"
"Unknown years","Bartow","123","0","7"
"01-04 years","Ben Hill","28","0","1"
"05-09 years","Ben Hill","19","0","0"
"10-17 years","Ben Hill","95","0","0"
"18-29 years","Ben Hill","251","0","4"
"30-39 years","Ben Hill","205","3","9"
"40-49 years","Ben Hill","191","1","9"
"50-59 years","Ben Hill","233","4","27"
"60-69 years","Ben Hill","197","11","26"
"70-79 years","Ben Hill","141","18","51"
"80 & Older years","Ben Hill","67","13","16"
"<1 years","Ben Hill","5","0","0"
"Unknown years","Ben Hill","2","0","0"
"01-04 years","Berrien","15","0","0"
"05-09 years","Berrien","19","0","0"
"10-17 years","Berrien","78","0","1"
"18-29 years","Berrien","180","0","0"
"30-39 years","Berrien","146","0","3"
"40-49 years","Berrien","130","0","4"
"50-59 years","Berrien","154","2","15"
"60-69 years","Berrien","115","6","16"
"70-79 years","Berrien","76","8","13"
"80 & Older years","Berrien","45","9","11"
"<1 years","Berrien","2","0","0"
"Unknown years","Berrien","1","0","0"
"01-04 years","Bibb","130","0","4"
"05-09 years","Bibb","169","0","0"
"10-17 years","Bibb","571","0","7"
"18-29 years","Bibb","2661","1","71"
"30-39 years","Bibb","1904","5","96"
"40-49 years","Bibb","1892","10","177"
"50-59 years","Bibb","1766","18","229"
"60-69 years","Bibb","1412","66","350"
"70-79 years","Bibb","865","95","293"
"80 & Older years","Bibb","535","112","251"
"<1 years","Bibb","42","0","4"
"Unknown years","Bibb","18","0","0"
"01-04 years","Bleckley","3","0","0"
"05-09 years","Bleckley","13","0","0"
"10-17 years","Bleckley","67","0","0"
"18-29 years","Bleckley","182","0","3"
"30-39 years","Bleckley","85","0","2"
"40-49 years","Bleckley","100","1","2"
"50-59 years","Bleckley","97","2","4"
"60-69 years","Bleckley","81","7","10"
"70-79 years","Bleckley","63","4","12"
"80 & Older years","Bleckley","62","18","12"
"<1 years","Bleckley","3","0","0"
"01-04 years","Brantley","12","0","0"
"05-09 years","Brantley","11","0","0"
"10-17 years","Brantley","72","0","1"
"18-29 years","Brantley","141","0","1"
"30-39 years","Brantley","106","0","3"
"40-49 years","Brantley","114","1","5"
"50-59 years","Brantley","134","2","12"
"60-69 years","Brantley","100","3","11"
"70-79 years","Brantley","77","9","18"
"80 & Older years","Brantley","42","7","10"
"<1 years","Brantley","1","0","0"
"01-04 years","Brooks","14","0","1"
"05-09 years","Brooks","19","0","0"
"10-17 years","Brooks","79","0","0"
"18-29 years","Brooks","165","0","0"
"30-39 years","Brooks","117","0","2"
"40-49 years","Brooks","112","1","11"
"50-59 years","Brooks","135","2","19"
"60-69 years","Brooks","97","6","14"
"70-79 years","Brooks","78","10","19"
"80 & Older years","Brooks","55","14","15"
"<1 years","Brooks","3","0","0"
"Unknown years","Brooks","1","0","0"
"01-04 years","Bryan","39","0","0"
"05-09 years","Bryan","62","0","0"
"10-17 years","Bryan","206","0","2"
"18-29 years","Bryan","454","0","8"
"30-39 years","Bryan","354","1","8"
"40-49 years","Bryan","390","0","13"
"50-59 years","Bryan","305","4","27"
"60-69 years","Bryan","212","6","25"
"70-79 years","Bryan","142","7","43"
"80 & Older years","Bryan","57","5","20"
"<1 years","Bryan","12","0","0"
"Unknown years","Bryan","3","0","0"
"01-04 years","Bulloch","53","0","0"
"05-09 years","Bulloch","88","0","0"
"10-17 years","Bulloch","302","0","2"
"18-29 years","Bulloch","2095","0","7"
"30-39 years","Bulloch","565","4","20"
"40-49 years","Bulloch","488","2","24"
"50-59 years","Bulloch","462","5","25"
"60-69 years","Bulloch","346","13","38"
"70-79 years","Bulloch","177","11","33"
"80 & Older years","Bulloch","98","11","32"
"<1 years","Bulloch","20","0","2"
"Unknown years","Bulloch","10","0","1"
"01-04 years","Burke","19","0","0"
"05-09 years","Burke","41","0","0"
"10-17 years","Burke","120","0","1"
"18-29 years","Burke","311","1","7"
"30-39 years","Burke","236","1","7"
"40-49 years","Burke","261","2","13"
"50-59 years","Burke","243","1","29"
"60-69 years","Burke","189","5","34"
"70-79 years","Burke","113","10","27"
"80 & Older years","Burke","35","7","13"
"<1 years","Burke","5","0","0"
"Unknown years","Burke","3","0","0"
"01-04 years","Butts","21","0","3"
"05-09 years","Butts","22","0","0"
"10-17 years","Butts","94","0","1"
"18-29 years","Butts","326","0","6"
"30-39 years","Butts","286","0","7"
"40-49 years","Butts","281","3","13"
"50-59 years","Butts","309","5","20"
"60-69 years","Butts","226","12","28"
"70-79 years","Butts","162","17","20"
"80 & Older years","Butts","103","24","6"
"<1 years","Butts","5","0","1"
"Unknown years","Butts","1","0","0"
"01-04 years","Calhoun","6","0","0"
"05-09 years","Calhoun","1","0","0"
"10-17 years","Calhoun","32","0","0"
"18-29 years","Calhoun","66","0","5"
"30-39 years","Calhoun","55","2","6"
"40-49 years","Calhoun","78","1","9"
"50-59 years","Calhoun","74","2","14"
"60-69 years","Calhoun","69","2","18"
"70-79 years","Calhoun","24","3","8"
"80 & Older years","Calhoun","15","2","7"
"<1 years","Calhoun","3","0","0"
"Unknown years","Calhoun","1","0","0"
"01-04 years","Camden","41","0","0"
"05-09 years","Camden","38","0","1"
"10-17 years","Camden","195","0","1"
"18-29 years","Camden","707","0","4"
"30-39 years","Camden","457","0","12"
"40-49 years","Camden","367","1","11"
"50-59 years","Camden","424","1","16"
"60-69 years","Camden","323","7","22"
"70-79 years","Camden","188","2","22"
"80 & Older years","Camden","85","13","21"
"<1 years","Camden","9","0","1"
"Unknown years","Camden","6","0","0"
"01-04 years","Candler","8","0","0"
"05-09 years","Candler","12","0","0"
"10-17 years","Candler","53","0","0"
"18-29 years","Candler","125","0","0"
"30-39 years","Candler","90","0","2"
"40-49 years","Candler","112","2","1"
"50-59 years","Candler","119","5","10"
"60-69 years","Candler","92","7","13"
"70-79 years","Candler","59","12","17"
"80 & Older years","Candler","27","5","11"
"<1 years","Candler","4","0","0"
"Unknown years","Candler","1","0","0"
"01-04 years","Carroll","77","0","1"
"05-09 years","Carroll","119","0","1"
"10-17 years","Carroll","545","0","6"
"18-29 years","Carroll","1565","0","11"
"30-39 years","Carroll","964","4","18"
"40-49 years","Carroll","925","4","25"
"50-59 years","Carroll","961","10","52"
"60-69 years","Carroll","679","21","64"
"70-79 years","Carroll","412","30","58"
"80 & Older years","Carroll","254","45","40"
"<1 years","Carroll","25","0","0"
"Unknown years","Carroll","21","0","0"
"01-04 years","Catoosa","68","0","0"
"05-09 years","Catoosa","110","0","1"
"10-17 years","Catoosa","404","0","1"
"18-29 years","Catoosa","855","0","7"
