county_name,cases,county_id,State FIPS code,County FIPS code,population,hospitalization,deaths,case rate,death rate,14 day case rate,14 day cases,antigen_cases,probable_deaths
Appling,1717,US-13001,13,1,18561,142,50,9250.58,269.38,511.83,95,316,4
Atkinson,745,US-13003,13,3,8330,108,15,8943.58,180.07,276.11,23,204,0
Bacon,1002,US-13005,13,5,11404,73,25,8786.39,219.22,499.82,57,323,6
Baker,151,US-13007,13,7,3116,31,6,4845.96,192.55,128.37,4,57,0
Baldwin,3542,US-13009,13,9,44428,273,90,7972.45,202.57,535.7,238,497,3
Banks,1467,US-13011,13,11,19982,170,28,7341.61,140.13,370.33,74,113,1
Barrow,7447,US-13013,13,13,86383,500,100,8620.91,115.76,891.38,770,788,1
Bartow,9206,US-13015,13,15,110771,605,159,8310.84,143.54,651.8,722,2351,13
Ben Hill,1434,US-13017,13,17,16645,143,50,8615.2,300.39,324.42,54,538,17
Berrien,961,US-13019,13,19,19276,63,25,4985.47,129.69,243.83,47,598,11
Bibb,11965,US-13021,13,21,152150,1482,307,7863.95,201.77,505.42,769,1626,29
Bleckley,756,US-13023,13,23,12838,45,32,5888.77,249.26,303.79,39,580,11
Brantley,810,US-13025,13,25,19202,61,22,4218.31,114.57,260.39,50,604,3
Brooks,875,US-13027,13,27,15727,81,33,5563.68,209.83,190.75,30,332,5
Bryan,2236,US-13029,13,29,39137,146,23,5713.26,58.77,508.47,199,549,3
Bulloch,4704,US-13031,13,31,79467,184,46,5919.44,57.89,527.26,419,1207,34
Burke,1576,US-13033,13,33,22342,131,27,7053.98,120.85,590.82,132,647,17
Butts,1836,US-13035,13,35,25174,105,61,7293.24,242.31,722.97,182,602,3
Calhoun,424,US-13037,13,37,6317,67,12,6712.05,189.96,522.4,33,111,0
Camden,2840,US-13039,13,39,53924,111,24,5266.67,44.51,398.71,215,497,3
Candler,702,US-13043,13,43,10837,54,31,6477.81,286.06,147.64,16,171,15
Carroll,6547,US-13045,13,45,120119,276,114,5450.43,94.91,387.95,466,3248,67
Catoosa,4648,US-13047,13,47,68771,191,51,6758.66,74.16,586,403,341,3
Charlton,981,US-13049,13,49,13251,53,15,7403.21,113.2,264.13,35,268,8
Chatham,16882,US-13051,13,51,292176,1324,299,5778.02,102.34,547.27,1599,1814,14
Chattahoochee,2469,US-13053,13,53,10749,20,3,22969.58,27.91,2502.56,269,298,2
Chattooga,1981,US-13055,13,55,24766,135,53,7998.87,214,428.01,106,416,5
Cherokee,18417,US-13057,13,57,266617,1045,206,6907.66,77.26,639.87,1706,6350,8
Clarke,11306,US-13059,13,59,129779,403,94,8711.73,72.43,709.67,921,1966,4
Clay,172,US-13061,13,61,2855,9,3,6024.52,105.08,245.18,7,48,0
Clayton,18253,US-13063,13,63,304838,1124,308,5987.77,101.04,563.91,1719,1886,16
Clinch,678,US-13065,13,65,6656,59,20,10186.3,300.48,721.15,48,191,0
Cobb,51668,US-13067,13,67,790588,2608,723,6535.39,91.45,562.24,4445,12407,46
Coffee,4011,US-13069,13,69,43042,584,102,9318.8,236.98,397.29,171,945,22
Colquitt,3083,US-13071,13,71,45393,208,56,6791.8,123.37,588.2,267,1030,22
Columbia,9843,US-13073,13,73,158631,385,125,6204.97,78.8,504.32,800,4668,32
Cook,1103,US-13075,13,75,17437,102,33,6325.63,189.25,183.52,32,504,3
Coweta,7292,US-13077,13,77,152001,249,114,4797.34,75,469.73,714,4337,8
Crawford,473,US-13079,13,79,12228,58,10,3868.17,81.78,359.83,44,107,2
Crisp,1276,US-13081,13,81,22289,140,36,5724.8,161.51,502.49,112,572,17
Dade,994,US-13083,13,83,16162,47,8,6150.23,49.5,494.99,80,136,1
Dawson,2408,US-13085,13,85,27021,209,29,8911.59,107.32,655.05,177,180,0
DeKalb,47755,US-13089,13,89,793154,3792,630,6020.9,79.43,484.02,3839,4519,46
Decatur,1992,US-13087,13,87,26322,130,47,7567.81,178.56,543.27,143,600,10
Dodge,1043,US-13091,13,91,20385,100,52,5116.51,255.09,206.03,42,954,36
Dooly,703,US-13093,13,93,13400,77,26,5246.27,194.03,440.3,59,237,8
Dougherty,5033,US-13095,13,95,89905,891,247,5598.13,274.73,363.72,327,1676,10
Douglas,9919,US-13097,13,97,151906,663,132,6529.7,86.9,716.89,1089,2219,22
Early,919,US-13099,13,99,10146,65,40,9057.76,394.24,719.5,73,144,4
Echols,346,US-13101,13,101,3969,11,2,8717.56,50.39,201.56,8,86,4
Effingham,3206,US-13103,13,103,64026,204,47,5007.34,73.41,504.48,323,489,2
Elbert,1422,US-13105,13,105,18945,109,37,7505.94,195.3,464.5,88,700,11
Emanuel,1640,US-13107,13,107,22664,113,51,7236.15,225.03,216.2,49,702,20
Evans,685,US-13109,13,109,10687,65,10,6409.66,93.57,364.93,39,166,7
Fannin,1836,US-13111,13,111,26320,152,47,6975.68,178.57,645.9,170,173,8
Fayette,5284,US-13113,13,113,117544,201,106,4495.34,90.18,440.69,518,1685,8
Floyd,8734,US-13115,13,115,99916,684,142,8741.34,142.12,594.5,594,1409,27
Forsyth,14650,US-13117,13,117,252507,827,115,5801.82,45.54,582.16,1470,2450,4
Franklin,2150,US-13119,13,119,23329,135,31,9216,132.88,600.11,140,237,5
Fulton,69491,US-13121,13,121,1099181,3830,927,6322.07,84.34,534.49,5875,9425,61
Gilmer,2216,US-13123,13,123,31417,172,49,7053.51,155.97,706.62,222,369,5
Glascock,132,US-13125,13,125,3025,19,4,4363.64,132.23,495.87,15,100,7
Glynn,5929,US-13127,13,127,86047,405,137,6890.42,159.22,610.13,525,1086,15
Gordon,5352,US-13129,13,129,58049,259,81,9219.8,139.54,646.01,375,1189,7
Grady,1423,US-13131,13,131,24540,151,41,5798.7,167.07,346.37,85,475,7
Greene,1311,US-13133,13,133,18717,106,36,7004.33,192.34,587.7,110,256,3
Gwinnett,75268,US-13135,13,135,971145,4606,754,7750.44,77.64,784.23,7616,10052,50
Habersham,4410,US-13137,13,137,45800,438,123,9628.82,268.56,447.6,205,172,4
Hall,22895,US-13139,13,139,206349,2105,327,11095.28,158.47,656.65,1355,1429,16
Hancock,761,US-13141,13,141,8193,91,53,9288.42,646.89,329.55,27,69,1
Haralson,1515,US-13143,13,143,30722,56,28,4931.32,91.14,292.95,90,786,38
Harris,1830,US-13145,13,145,34712,129,40,5271.95,115.23,466.7,162,297,0
Hart,1567,US-13147,13,147,26107,105,32,6002.22,122.57,394.53,103,532,14
Heard,546,US-13149,13,149,12370,35,12,4413.9,97.01,355.7,44,192,3
Henry,15731,US-13151,13,151,239866,439,204,6558.25,85.05,612.01,1468,3857,19
Houston,8804,US-13153,13,153,157039,593,146,5606.25,92.97,448.3,704,3426,42
Irwin,648,US-13155,13,155,9433,74,15,6869.5,159.02,286.23,27,200,10
Jackson,7562,US-13157,13,157,74700,410,102,10123.16,136.55,975.9,729,910,10
Jasper,576,US-13159,13,159,14199,48,13,4056.62,91.56,288.75,41,618,14
Jeff Davis,1173,US-13161,13,161,15148,92,33,7743.6,217.85,455.51,69,477,6
