Hospitals,Address,State,Type,Status,COUNTY,Beds,County
CENTRAL VALLEY GENERAL HOSPITAL,1025 NORTH DOUTY STREET,CA,GENERAL ACUTE CARE,CLOSED,KINGS,49,Kings
LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS,150 VIA MERIDA,CA,GENERAL ACUTE CARE,OPEN,VENTURA,62,Ventura
EAST LOS ANGELES DOCTORS HOSPITAL,4060 WHITTIER BOULEVARD,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,127,Los Angeles
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVENUE,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,100,Los Angeles
KINDRED HOSPITAL BALDWIN PARK,14148 FRANCISQUITO AVENUE,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,95,Los Angeles
LAKEWOOD REGIONAL MEDICAL CENTER,3700 EAST SOUTH STREET,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,172,Los Angeles
MONROVIA MEMORIAL HOSPITAL,323 SOUTH HELIOTROPE AVENUE,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,49,Los Angeles
MONTEREY PARK HOSPITAL,900 SOUTH ATLANTIC BOULEVARD,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,101,Los Angeles
STAR VIEW ADOLESCENT - P H F,4025 WEST 226 STREET,CA,PSYCHIATRIC,OPEN,LOS ANGELES,16,Los Angeles
CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,730 MAGNOLIA AVENUE,CA,GENERAL ACUTE CARE,OPEN,RIVERSIDE,78,Riverside
MODOC MEDICAL CENTER,228 MC DOWELL STREET,CA,GENERAL ACUTE CARE,OPEN,MODOC,87,Modoc
SALINAS VALLEY MEMORIAL HOSPITAL,450 EAST ROMIE LANE,CA,GENERAL ACUTE CARE,OPEN,MONTEREY,269,Monterey
CORPUS CHRISTI SPECIALTY HOSPITAL,1310 THIRD STREET,TX,GENERAL ACUTE CARE,CLOSED,NUECES,189,Nueces
HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,393 S. TUSTIN STREET,CA,CHILDREN,OPEN,ORANGE,27,Orange
HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL,14851 YORBA STREET,CA,GENERAL ACUTE CARE,OPEN,ORANGE,48,Orange
KINDRED HOSPITAL BREA,875 NORTH BREA BOULEVARD,CA,GENERAL ACUTE CARE,OPEN,ORANGE,86,Orange
KINDRED HOSPITAL WESTMINSTER,200 HOSPITAL CIRCLE,CA,GENERAL ACUTE CARE,OPEN,ORANGE,109,Orange
KAWEAH DELTA MENTAL HEALTH HOSPITAL D/P APH,1100 SO. AKERS STREET,CA,GENERAL ACUTE CARE,OPEN,TULARE,63,Tulare
CHARLTON MEMORIAL HOSPITAL,2449 THIRD STREET,GA,GENERAL ACUTE CARE,CLOSED,CHARLTON,-999,Charlton
DAUTERIVE HOSPITAL,600 N LEWIS AVE.,LA,GENERAL ACUTE CARE,OPEN,IBERIA,103,Iberia
CROCKETT MEDICAL CENTER,1100 EAST LOOP 304,TX,GENERAL ACUTE CARE,OPEN,HOUSTON,25,Houston
CENTRAL LOUISIANA STATE HOSPITAL,242 W SHAMROCK AVE,LA,PSYCHIATRIC,OPEN,RAPIDES,128,Rapides
REEVES MEMORIAL MEDICAL CENTER,409 1ST ST,LA,GENERAL ACUTE CARE,OPEN,UNION,11,Union
SERENITY SPRINGS SPECIALTY HOSPITAL,309 N MAIN ST,LA,PSYCHIATRIC,OPEN,UNION,18,Union
RIVERBRIDGE SPECIALTY HOSPITAL,209 FRONT ST.,LA,LONG TERM CARE,OPEN,CONCORDIA,40,Concordia
CITIZENS MEDICAL CENTER,7939 HIGHWAY 165,LA,GENERAL ACUTE CARE,OPEN,CALDWELL,40,Caldwell
BROWN MEMORIAL CONVALESCENT CENTER,545 COOK STREET,GA,LONG TERM CARE,CLOSED,FRANKLIN,144,Franklin
COLLEGE MEDICAL CENTER,2776 PACIFIC AVENUE,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,121,Los Angeles
KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2500 MERCED STREET,CA,GENERAL ACUTE CARE,OPEN,ALAMEDA,216,Alameda
KINDRED HOSPITAL PARAMOUNT,16453 SOUTH COLORADO AVENUE,CA,LONG TERM CARE,OPEN,LOS ANGELES,177,Los Angeles
DEPARTMENT OF STATE HOSPITAL-METROPOLITAN,11401 BLOOMFIELD AVENUE,CA,PSYCHIATRIC,OPEN,LOS ANGELES,1265,Los Angeles
PINCKNEYVILLE COMMUNITY HOSPITAL,5383 STATE ROUTE 154,IL,CRITICAL ACCESS,OPEN,PERRY,17,Perry
ST JOSEPH'S HOSPITAL - SAVANNAH,11705 MERCY BOULEVARD,GA,GENERAL ACUTE CARE,OPEN,CHATHAM,294,Chatham
KINDRED HOSPITAL ROME,320 TURNER MCCALL BOULEVARD,GA,LONG TERM CARE,OPEN,FLOYD,45,Floyd
UPSON REGIONAL MEDICAL CENTER,801 W GORDON STREET,GA,GENERAL ACUTE CARE,OPEN,UPSON,115,Upson
PHOEBE SUMTER MEDICAL CENTER,126 HIGHWAY 280 W,GA,GENERAL ACUTE CARE,OPEN,SUMTER,76,Sumter
ROOSEVELT WARM SPRINGS LTAC HOSPITAL,6135 ROOSEVELT HIGHWAY,GA,LONG TERM CARE,OPEN,MERIWETHER,32,Meriwether
SOUTHEASTERN REGIONAL MEDICAL CENTER,600 CELEBRATE LIFE PKWY,GA,GENERAL ACUTE CARE,OPEN,COWETA,50,Coweta
