YEAR,WEEK_NUMBER,0-4 YR,5-17 YR,18-49 YR,50-64 YR,65+ YR
2020,2020-10,0,0,29.4,20.6,50
2020,2020-11,0,0,24,36.9,39.2
2020,2020-12,0,0.4,26.4,29.8,43.4
2020,2020-13,0.2,0.2,25.5,31.7,42.3
2020,2020-14,0.4,0.4,21.2,33,45.1
2020,2020-15,0.3,0.2,21,30.4,48.1
2020,2020-16,0.3,0.2,22.5,29.3,47.6
2020,2020-17,0.3,0.4,24.7,26.3,48.2
2020,2020-18,0.4,0.7,25.3,28,45.7
2020,2020-19,0.3,0.8,27.7,28.9,42.3
2020,2020-20,0.5,0.6,28.4,28.6,41.9
2020,2020-21,0.7,0.9,30.5,27.9,40
2020,2020-22,0.7,1.3,31.9,26.4,39.8
2020,2020-23,1,1.1,33.2,27.2,37.4
2020,2020-24,1.1,1.1,35.7,26.5,35.7
2020,2020-25,1.2,0.8,36.6,28.2,33.3
2020,2020-26,0.9,1.5,39.1,28.4,30.2
2020,2020-27,0.5,1,37.7,27,33.7
2020,2020-28,0.8,1.2,35.5,28.2,34.3
2020,2020-29,0.6,1.1,34.9,28.6,34.8
2020,2020-30,0.9,0.9,32,29.3,36.9
2020,2020-31,0.7,0.9,32.9,28.5,37.1
2020,2020-32,0.6,1,34.1,27.2,37.1
2020,2020-33,0.6,1.3,33,28.6,36.5
2020,2020-34,0.7,1.4,30.5,28.6,38.7
2020,2020-35,0.8,2,34.5,24.9,37.8
2020,2020-36,1.5,1.5,31.1,26.7,39.1
2020,2020-37,0.6,1.4,31.6,27.8,38.6
2020,2020-38,0.7,1.8,30.5,25.8,41.2
2020,2020-39,1.1,0.9,29.5,27.4,41
2020,2020-40,0.6,1.4,29.7,27,41.4
2020,2020-41,0.5,1.2,27,27.6,43.8
2020,2020-42,0.5,1.2,29.3,25.7,43.3
2020,2020-43,0.4,1.1,24.7,29.3,44.5
2020,2020-44,0.5,1,24.7,27.7,46.2
2020,2020-45,0.6,1.3,24.9,26.6,46.5
2020,2020-46,0.4,1.2,22.8,26.6,49.1
2020,2020-47,0.5,0.6,21.3,26.2,51.4
2020,2020-48,0.4,0.8,21.5,25.6,51.7
2020,2020-49,0.7,0.9,21.7,25.1,51.6
2020,2020-50,0.7,0.7,22.1,25.4,51.1
2020,2020-51,0.5,0.7,21.1,25.9,51.8
2020,2020-52,0.6,1,20.1,25.6,52.8
2020,2020-53,0.5,0.9,21.1,25,52.5
2020,2021-1,0.6,1.2,21.3,25.9,51
2020,2021-2,0.7,1.2,21.9,26.3,49.9
2020,2021-3,0.7,1.3,22,26.6,49.3
2020,2021-4,0.8,2,21.7,25.9,49.5
2020,2021-5,0,0,0,0,0
