,date,STABBREV,positive,State,Tot_Deliv,Tot_Admin,First_Dose,Two_Doses
0,20210206,AK,53279,Alaska,248500,139147,103163,35773
1,20210206,AL,471311,Alabama,804100,455173,370275,84278
2,20210206,AR,306064,Arkansas,540050,374674,290153,81564
3,20210206,AZ,779093,Arizona,1186000,766788,629750,136236
4,20210206,CA,3320862,California,6963500,4137600,3389906,727993
5,20210206,CO,404255,Colorado,991075,694860,512024,178975
6,20210206,CT,259372,Connecticut,740300,519400,395554,115349
7,20210206,DC,37877,District of Columbia,166950,102031,71810,24069
8,20210206,DE,79832,Delaware,161525,118475,94962,22791
9,20210206,FL,1739276,Florida,3791925,2385839,1865090,512064
10,20210206,GA,937402,Georgia,1688075,1098863,887597,188736
11,20210206,HI,27088,Hawaii,263000,179059,132701,37054
12,20210206,IA,270935,Iowa,510550,308527,224437,80640
13,20210206,ID,164969,Idaho,266475,176220,133810,32011
14,20210206,IL,1144281,Illinois,2089050,1329963,1028487,275276
15,20210206,IN,637987,Indiana,1118350,749771,593266,156083
16,20210206,KS,281562,Kansas,492250,280252,218170,60203
17,20210206,KY,376262,Kentucky,747000,517168,406790,108050
18,20210206,LA,409861,Louisiana,769750,570731,419327,150219
19,20210206,MA,540827,Massachusetts,1247600,727120,571853,153692
20,20210206,MD,362084,Maryland,1029725,626838,496331,129951
21,20210206,ME,41064,Maine,254550,168626,126127,40806
22,20210206,MI,620685,Michigan,1639575,1193181,896162,282345
23,20210206,MN,467217,Minnesota,950250,703366,509608,150576
24,20210206,MO,465448,Missouri,961525,583949,448830,129273
25,20210206,MS,280778,Mississippi,515450,300464,252569,47607
26,20210206,MT,95717,Montana,163675,130883,96394,34207
27,20210206,NC,791521,North Carolina,1718275,1171240,939554,230372
28,20210206,ND,98106,North Dakota,131625,120742,81935,35123
29,20210206,NE,193421,Nebraska,346375,218405,157139,59985
30,20210206,NH,68061,New Hampshire,257700,161178,116523,43888
31,20210206,NJ,717835,New Jersey,1480825,1041289,791011,199040
32,20210206,NM,177214,New Mexico,364875,322611,240516,78774
33,20210206,NV,283391,Nevada,427800,322252,264060,56456
34,20210206,NY,1460747,New York,3378300,2225316,1661253,468747
35,20210206,OH,918079,Ohio,1901750,1242487,975620,265445
36,20210206,OK,401780,Oklahoma,734625,541252,406359,131556
37,20210206,OR,146138,Oregon,734950,509875,389513,118378
38,20210206,PA,865604,Pennsylvania,2292500,1338491,1036395,298741
39,20210206,RI,117891,Rhode Island,192300,111830,81085,30711
40,20210206,SC,462981,South Carolina,684700,542879,435079,103432
41,20210206,SD,109132,South Dakota,161150,127592,88882,38626
42,20210206,TN,742213,Tennessee,1156975,752298,521621,228198
43,20210206,TX,2476783,Texas,4402275,3107936,2371311,734386
44,20210206,UT,353700,Utah,493525,400285,284458,88190
45,20210206,VA,526176,Virginia,1387775,1052577,842587,180751
46,20210206,VT,12766,Vermont,116075,82992,58637,24212
47,20210206,WA,319371,Washington,1208600,867773,684484,170990
48,20210206,WI,600016,Wisconsin,926300,638241,521331,110306
49,20210206,WV,124190,West Virginia,357000,314870,214301,100159
50,20210206,WY,52618,Wyoming,101650,71858,56076,14835
