State,Population,date,STABBREV,positive,Tot_Deliv,Tot_Admin,First_Dose,Two_Doses,perpos,pervax_2,perimm,per60,per80,caseRT
Alabama,4876250,20210206,AL,471311,804100,455173,370275,84278,9.665439630863881,1.7283363240194822,11.393775954883363,2925750.0,3901000.0,9665.43963086388
Alaska,737068,20210206,AK,53279,248500,139147,103163,35773,7.2285053753520705,4.853419223192432,12.081924598544504,442240.8,589654.4,7228.505375352071
Arizona,7050299,20210206,AZ,779093,1186000,766788,629750,136236,11.050495872586396,1.932343578619857,12.982839451206255,4230179.399999999,5640239.2,11050.495872586396
Arkansas,2999370,20210206,AR,306064,540050,374674,290153,81564,10.204276231341915,2.719371067924264,12.92364729926618,1799622.0,2399496.0,10204.276231341915
California,39283497,20210206,CA,3320862,6963500,4137600,3389906,727993,8.453580392804643,1.8531776842575904,10.306758077062234,23570098.2,31426797.6,8453.580392804643
Colorado,5610349,20210206,CO,404255,991075,694860,512024,178975,7.20552322146091,3.1900867486140343,10.395609970074945,3366209.4,4488279.2,7205.5232214609105
Delaware,957248,20210206,DE,79832,161525,118475,94962,22791,8.339740589690447,2.3808877114394598,10.720628301129906,574348.7999999999,765798.4,8339.740589690446
District of Columbia,692683,20210206,DC,37877,166950,102031,71810,24069,5.468157873081915,3.4747496329489826,8.942907506030897,415609.8,554146.4,5468.157873081915
Connecticut,3575074,20210206,CT,259372,740300,519400,395554,115349,7.255010665513498,3.2264786686932916,10.481489334206788,2145044.4,2860059.2,7255.010665513498
Florida,20901636,20210206,FL,1739276,3791925,2385839,1865090,512064,8.321243370614626,2.4498752155094463,10.771118586124071,12540981.6,16721308.8,8321.243370614626
Georgia,10403847,20210206,GA,937402,1688075,1098863,887597,188736,9.01014788087522,1.8140981888718666,10.824246069747085,6242308.2,8323077.600000001,9010.147880875218
Idaho,1717750,20210206,ID,164969,266475,176220,133810,32011,9.603784019793334,1.8635424246834522,11.467326444476786,1030650.0,1374200.0,9603.784019793335
Hawaii,1422094,20210206,HI,27088,263000,179059,132701,37054,1.9047967293301284,2.605594285609812,4.510391014939941,853256.4,1137675.2,1904.7967293301285
Illinois,12770631,20210206,IL,1144281,2089050,1329963,1028487,275276,8.96025419574021,2.155539534420813,11.115793730161023,7662378.6,10216504.8,8960.254195740212
Indiana,6665703,20210206,IN,637987,1118350,749771,593266,156083,9.571188515299886,2.34158347589144,11.912771991191326,3999421.8,5332562.4,9571.188515299886
Iowa,3139508,20210206,IA,270935,510550,308527,224437,80640,8.629855378613465,2.5685553277774735,11.198410706390938,1883704.8,2511606.4,8629.855378613463
Kansas,2910652,20210206,KS,281562,492250,280252,218170,60203,9.673502706610066,2.0683681869216928,11.741870893531758,1746391.2,2328521.6,9673.502706610065
Kentucky,4449052,20210206,KY,376262,747000,517168,406790,108050,8.457127495924976,2.4286072628506026,10.885734758775577,2669431.1999999997,3559241.6,8457.127495924975
Louisiana,4664362,20210206,LA,409861,769750,570731,419327,150219,8.787075274174688,3.2205690724690754,12.007644346643765,2798617.1999999997,3731489.6,8787.075274174687
Maine,1335492,20210206,ME,41064,254550,168626,126127,40806,3.0748218634031503,3.055503140415667,6.130325003818817,801295.2,1068393.6,3074.82186340315
Maryland,6018848,20210206,MD,362084,1029725,626838,496331,129951,6.015835588471416,2.159067648825822,8.174903237297237,3611308.8,4815078.4,6015.835588471416
Massachusetts,6850553,20210206,MA,540827,1247600,727120,571853,153692,7.894647337229564,2.243497714710039,10.138145051939603,4110331.8,5480442.4,7894.647337229564
Michigan,9965265,20210206,MI,620685,1639575,1193181,896162,282345,6.228484641401909,2.8332914378092307,9.061776079211139,5979159.0,7972212.0,6228.484641401909
Minnesota,5563378,20210206,MN,467217,950250,703366,509608,150576,8.398081165795315,2.706557059398085,11.1046382251934,3338026.8,4450702.4,8398.081165795315
Mississippi,2984418,20210206,MS,280778,515450,300464,252569,47607,9.408132506907545,1.595185392930883,11.003317899838427,1790650.8,2387534.4,9408.132506907545
Missouri,6104910,20210206,MO,465448,961525,583949,448830,129273,7.624158259499321,2.1175250740797162,9.741683333579038,3662946.0,4883928.0,7624.158259499321
Montana,1050649,20210206,MT,95717,163675,130883,96394,34207,9.11027374508518,3.2557971311065823,12.366070876191763,630389.4,840519.2000000001,9110.27374508518
Nebraska,1914571,20210206,NE,193421,346375,218405,157139,59985,10.102576504083682,3.133077853994446,13.235654358078127,1148742.5999999999,1531656.8,10102.576504083683
Nevada,2972382,20210206,NV,283391,427800,322252,264060,56456,9.534137940547344,1.899352102118772,11.433490042666119,1783429.2,2377905.6,9534.137940547345
New Hampshire,1348124,20210206,NH,68061,257700,161178,116523,43888,5.048571199681929,3.255486883995834,8.304058083677763,808874.4,1078499.2,5048.571199681928
New Jersey,8878503,20210206,NJ,717835,1480825,1041289,791011,199040,8.085090470769678,2.2418193697743867,10.326909840544065,5327101.8,7102802.4,8085.090470769678
New Mexico,2092454,20210206,NM,177214,364875,322611,240516,78774,8.469194543822708,3.7646705734032864,12.233865117225994,1255472.4,1673963.2000000002,8469.194543822707
New York,19572319,20210206,NY,1460747,3378300,2225316,1661253,468747,7.463331248586333,2.3949487028082874,9.85827995139462,11743391.4,15657855.200000001,7463.331248586333
North Carolina,10264876,20210206,NC,791521,1718275,1171240,939554,230372,7.710965042344399,2.2442745533409267,9.955239595685326,6158925.6,8211900.800000001,7710.965042344399
North Dakota,756717,20210206,ND,98106,131625,120742,81935,35123,12.964688252014955,4.641497415810666,17.60618566782562,454030.2,605373.6,12964.688252014956
Ohio,11655397,20210206,OH,918079,1901750,1242487,975620,265445,7.876857390614838,2.27744280181962,10.154300192434459,6993238.2,9324317.6,7876.857390614838
Oklahoma,3932870,20210206,OK,401780,734625,541252,406359,131556,10.215949166893388,3.3450381019459074,13.560987268839295,2359722.0,3146296.0,10215.949166893388
Oregon,4129803,20210206,OR,146138,734950,509875,389513,118378,3.5386191544729857,2.8664321276341753,6.405051282107162,2477881.8,3303842.4000000004,3538.6191544729854
Pennsylvania,12791530,20210206,PA,865604,2292500,1338491,1036395,298741,6.767009106807395,2.3354594798276676,9.102468586635062,7674918.0,10233224.0,6767.009106807395
Rhode Island,1057231,20210206,RI,117891,192300,111830,81085,30711,11.150921605590453,2.904852392712662,14.055773998303115,634338.6,845784.8,11150.921605590453
South Carolina,5020806,20210206,SC,462981,684700,542879,435079,103432,9.221248540572969,2.0600676465093453,11.281316187082313,3012483.6,4016644.8000000003,9221.248540572968
South Dakota,870638,20210206,SD,109132,161150,127592,88882,38626,12.534715920968301,4.43651666938498,16.97123259035328,522382.8,696510.4,12534.715920968301
Tennessee,6709356,20210206,TN,742213,1156975,752298,521621,228198,11.062358294894473,3.4011908147369136,14.463549109631385,4025613.5999999996,5367484.800000001,11062.358294894473
Texas,28260856,20210206,TX,2476783,4402275,3107936,2371311,734386,8.76400559133807,2.5985978627115895,11.362603454049658,16956513.599999998,22608684.8,8764.00559133807
Vermont,624313,20210206,VT,12766,116075,82992,58637,24212,2.044807652571707,3.878182898642187,5.9229905512138945,374587.8,499450.4,2044.807652571707
Utah,3096848,20210206,UT,353700,493525,400285,284458,88190,11.421290292581359,2.8477342123346063,14.269024504915967,1858108.8,2477478.4,11421.29029258136
Virginia,8454463,20210206,VA,526176,1387775,1052577,842587,180751,6.223647794070422,2.1379359043856483,8.36158369845607,5072677.8,6763570.4,6223.647794070422
Washington,7404107,20210206,WA,319371,1208600,867773,684484,170990,4.313430370468714,2.3093939620267507,6.622824332495465,4442464.2,5923285.600000001,4313.4303704687145
West Virginia,1817305,20210206,WV,124190,357000,314870,214301,100159,6.833745573802967,5.511402874036004,12.34514844783897,1090383.0,1453844.0,6833.745573802967
