State,,Tot_Deliv,Tot_Admin,Deliv_per_100K,Admin_per_100K,First_Dose,one_Dose_per_100K,Two_Doses,Two_Doses_per_100K
Alaska,AK,248500,139147,33969,19021,103163,14102,35773,4890
Alabama,AL,804100,455173,16400,9283,370275,7552,84278,1719
Arkansas,AR,540050,374674,17895,12415,290153,9615,81564,2703
Arizona,AZ,1186000,766788,16294,10535,629750,8652,136236,1872
California,CA,6963500,4137600,17624,10472,3389906,8579,727993,1842
Colorado,CO,991075,694860,17210,12066,512024,8891,178975,3108
Connecticut,CT,740300,519400,20764,14568,395554,11095,115349,3235
District of Columbia,DC,166950,102031,23656,14457,71810,10175,24069,3410
Delaware,DE,161525,118475,16588,12167,94962,9752,22791,2341
Florida,FL,3791925,2385839,17655,11108,1865090,8684,512064,2384
Georgia,GA,1688075,1098863,15899,10350,887597,8360,188736,1778
Hawaii,HI,263000,179059,18575,12647,132701,9372,37054,2617
Iowa,IA,510550,308527,16182,9779,224437,7114,80640,2556
Idaho,ID,266475,176220,14911,9861,133810,7488,32011,1791
Illinois,IL,2089050,1329963,16486,10495,1028487,8116,275276,2172
Indiana,IN,1118350,749771,16612,11137,593266,8812,156083,2318
Kansas,KS,492250,280252,16897,9620,218170,7489,60203,2066
Kentucky,KY,747000,517168,16720,11576,406790,9105,108050,2418
Louisiana,LA,769750,570731,16558,12277,419327,9020,150219,3231
Massachusetts,MA,1247600,727120,18101,10549,571853,8297,153692,2230
Maryland,MD,1029725,626838,17032,10368,496331,8210,129951,2149
Maine,ME,254550,168626,18937,12545,126127,9383,40806,3036
Michigan,MI,1639575,1193181,16417,11948,896162,8973,282345,2827
Minnesota,MN,950250,703366,16850,12472,509608,9036,150576,2670
Missouri,MO,961525,583949,15667,9515,448830,7313,129273,2106
Mississippi,MS,515450,300464,17319,10096,252569,8486,47607,1600
Montana,MT,163675,130883,15314,12246,96394,9019,34207,3201
North Carolina,NC,1718275,1171240,16383,11167,939554,8958,230372,2197
North Dakota,ND,131625,120742,17272,15844,81935,10752,35123,4609
Nebraska,NE,346375,218405,17906,11291,157139,8123,59985,3101
New Hampshire,NH,257700,161178,18953,11854,116523,8570,43888,3228
New Jersey,NJ,1480825,1041289,16672,11723,791011,8906,199040,2241
New Mexico,NM,364875,322611,17401,15386,240516,11470,78774,3757
Nevada,NV,427800,322252,13889,10462,264060,8573,56456,1833
New York,NY,3378300,2225316,17366,11439,1661253,8540,468747,2410
Ohio,OH,1901750,1242487,16269,10629,975620,8346,265445,2271
Oklahoma,OK,734625,541252,18565,13678,406359,10269,131556,3325
Oregon,OR,734950,509875,17425,12089,389513,9235,118378,2807
Pennsylvania,PA,2292500,1338491,17907,10455,1036395,8096,298741,2334
Rhode Island,RI,192300,111830,18152,10556,81085,7654,30711,2899
South Carolina,SC,684700,542879,13298,10544,435079,8450,103432,2009
South Dakota,SD,161150,127592,18216,14423,88882,10047,38626,4366
Tennessee,TN,1156975,752298,16942,11016,521621,7638,228198,3342
Texas,TX,4402275,3107936,15182,10719,2371311,8178,734386,2533
Utah,UT,493525,400285,15394,12486,284458,8873,88190,2751
Virginia,VA,1387775,1052577,16259,12332,842587,9872,180751,2118
Vermont,VT,116075,82992,18602,13300,58637,9397,24212,3880
Washington,WA,1208600,867773,15872,11396,684484,8989,170990,2245
Wisconsin,WI,926300,638241,15909,10962,521331,8954,110306,1894
West Virginia,WV,357000,314870,19920,17569,214301,11958,100159,5589
Wyoming,WY,101650,71858,17563,12416,56076,9689,14835,2563
